recommendationsVersion,recommendationsName,recommendationsId,shortDescription,lastUpdatedBy,category,status,dmnVersion,updatedDate,priority,type,longDescription,environment
5,MY_ACCOUNT_ACCESS,REC_852452ed-611d-464b-9843-c8d1c798b8b8,Download the My Account App,null null,Account,Archive,295,"12/07/2016,12:40 PM",null,alert,Share this Article with Customer to download My Account App,int
15,Seasonal_Bootfile,REC_10c835a8-8653-4d15-9196-19f02a6d841f,The device has a seasonal bootfile,null null,Services,Archive,306,"12/08/2016,7:33 AM",Medium,alert,A provisioning attempt will be required to correct the issue.,int->soak_g2
1,Feature_Mismatch,REC_2153ca9c-4e24-472e-94b1-3435273149d7,null,null null,Services,Archive,246,"11/30/2016,4:40 PM",null,null,null,int
11,ACCOUNT_SEASONAL,REC_89e993ad-9ed5-4ba5-99eb-d5bd66278c49,Seasonal Suspend,null null,Account,Archive,312,"12/08/2016,8:56 AM",null,-1,Account is in Seasonal Suspend,int->soak_g2->soak_g1
7,HARD_DISCONNECT,REC_8dcdaa44-e987-4de1-9acf-e1ea39f2084d,Non Pay Hard Disconnect,null null,Billing,Active,327,"12/08/2016,10:23 AM",null,alert,Customer is in a non pay hard disconnect.,int->soak_g2->soak_g1
6,No_Alternate_Email_Found,REC_39b2b2b2-b6b2-4339-b062-be4c87e0de6d,Add Alternate Email,null null,Services,Active,330,"12/08/2016,10:33 AM",null,alert,The customer does not have an alternate email on file,int->soak_g2->soak_g1->prd_g1->prd_g2
4,Feature_Mismatch,REC_6b17daf5-831b-470f-8cb7-34c12de6af77,null,null null,Services,Archive,249,"11/30/2016,5:24 PM",null,null,null,int->soak_g2->soak_g1
2,XRE Errors,REC_f1bc2e97-6f42-4629-abfe-2b61cec75118,null,STEVE SEIER,Services,Archive,251,"12/01/2016,10:35 AM",null,null,null,int
3,TICKETING_TEST,REC_8f1f6f59-784c-4380-81c6-18eee1787ff3,This is just a test,null null,Services,Archive,253,"12/01/2016,11:05 AM",Medium,alert,I'm just testing,int
6,Seasonal_Bootfile,REC_6853d2cc-77f2-490f-8ecb-d2683c9e1623,The device has a seasonal bootfile,null null,Services,Archive,254,"12/01/2016,11:35 AM",Medium,alert,A provisioning attempt will be required to correct the issue.,int
8,BALANCE,REC_865176b4-7bca-4e9e-bc8c-3055fa2060e3,Take a Payment,Rabia Arshad,Billing,Archive,231,"12/02/2016,12:34 PM",1,alert,The customer has a current or past due balance,int
2,PORTED_CDV,REC_17751920-59b0-4289-8abc-2cf1e499206a,Ported CDV,null null,Services,Archive,259,"12/02/2016,4:02 PM",1,alert,The customer's TN is inactive and does not have a Comacst SPID,int
