aspect,id,ActiveState,description,name
LOB does not match Device Type,SYM_3c392d1f-4d9e-4796-9e56-49b1914fef66,(empty),(empty),LOB does not match Device Type
Walled Garden Bootfile Found,SYM_642b8450-a9b9-4fe2-942e-b5c84d96b050,(empty),(empty),Walled Garden Bootfile Found
Plant Integrity Out of Range,SYM_f1f2f02b-0e9d-4b4d-8791-c92783bbeffe,(empty),(empty),Plant Integrity Out of Range
Residential Account,SYM_8ae4bcb2-531f-4907-a651-ca0e402a1eaf,(empty),(empty),Residential Account
Cold Tap,SYM_842398ea-c1a3-46ea-a6ab-64f863bd8f25,(empty),(empty),Cold Tap
Seasonal Bootfile Found,SYM_23fe12d3-bf72-4666-8f86-f09dfa27ecf4,(empty),(empty),Seasonal Bootfile Found
Seasonal Suspend State Found,SYM_b71324d3-aa0e-47cd-ad90-2dcebbb8c8bb,(empty),(empty),Seasonal Suspend State Found
Bootfile Mismatch Found,SYM_40d6f747-3f05-478d-a802-f410c426ed49,(empty),(empty),Bootfile Mismatch Found
HIC score Out of Range,SYM_3921710b-94b2-4345-b71c-fb6ecdf4783c,(empty),(empty),HIC score Out of Range
Pre-Paid Walled Garden Bootfile Found,SYM_5f5f41d5-79fe-432f-9754-3680ba6fed7b,(empty),(empty),Pre-Paid Walled Garden Bootfile Found
NEVERTAP,SYM_0150ce63-06cc-4f5a-916f-3bb86b46dc28,(empty),(empty),NEVERTAP
Abuse Bootfile Found,SYM_66dece39-36cf-4b10-834e-8cb832e6bed1,(empty),(empty),Abuse Bootfile Found
Account Disconnect Reason- Soft Disconnect,SYM_7b521a21-eaa2-4218-a4a7-50fda85a1820,(empty),(empty),Account Disconnect Reason- Soft Disconnect
Measured SUCKOUT is HIGH,SYM_c51f5c6c-9a51-41a5-a230-e51d4e00f2c0,(empty),(empty),Measured SUCKOUT is HIGH
SWAP Program Identified,SYM_64481e50-a84c-41f8-94ed-60db16ffb7e2,(empty),(empty),SWAP Program Identified
SWAP Program Not Found,SYM_28956797-2049-4607-b1d6-b68e685255eb,(empty),(empty),SWAP Program Not Found
Testing only,SYM_95d4be15-062d-47c0-8193-58e1dcf75d15,(empty),(empty),Testing only
Mobile Number Not Found,SYM_5119391b-5f73-46a8-8406-e1186b729bf8,(empty),(empty),Mobile Number Not Found
Alternate Email Not Found,SYM_60bf7a06-bb1d-4edb-aad2-fb4450e0b243,(empty),(empty),Alternate Email Not Found
Account Outstanding Balance Found,SYM_dfc6936d-00dc-49a6-b640-74df65e67c5e,(empty),(empty),Account Outstanding Balance Found
Outage Information Found,SYM_df7951f7-0f5f-47af-b2ca-fbcd6eb73185,(empty),(empty),Outage Information Found
Username Not Found,SYM_17a3784b-60fa-442c-87e9-f0f6cf8ab53c,(empty),(empty),Username Not Found
Account Autopay Not Found,SYM_da5fa41c-a056-465d-af97-8a85ac663f05,(empty),(empty),Account Autopay Not Found
The account does not have a PIN,SYM_6b6266ae-4f71-42c9-b6e9-672e6df45919,(empty),(empty),The account does not have a PIN
Enrolled in AutoPay With Issue,SYM_34925a03-544e-4969-b074-6c458507814c,(empty),(empty),Enrolled in AutoPay With Issue
No My Account Access Attempts,SYM_23387b72-91de-4e15-82e0-24ab68736960,(empty),(empty),No My Account Access Attempts
Tony's Account,SYM_18c8dd5d-c847-4a20-b1d0-569fb615a3c1,(empty),(empty),Tony's Account
Test,SYM_12502cfc-c72b-433a-b521-5c921eed673f,(empty),(empty),Test
Test2123,SYM_e40c62fa-80ce-4bd3-9660-ed07405b017e,(empty),(empty),Test2123
Context Event Exists,SYM_506be336-3187-4a75-af3e-7528b50d85ba,(empty),(empty),Context Event Exists
Context ITG,SYM_c253b604-3d95-49b0-8e94-647455a6c484,(empty),(empty),Context ITG
Context Document,SYM_542cd921-483f-4daf-8085-22d09d78bcd9,(empty),(empty),Context Document
PHT - FAIL,SYM_0aa2cd2c-db32-486e-a05a-d32c4ab4f05c,(empty),(empty),PHT - FAIL
PHT Score is Outside Acceptable Range and Override Status is NOT ALLOWED,SYM_a66ca2e1-6e50-40b7-8acf-3547f7fb4a51,(empty),(empty),PHT Score is Outside Acceptable Range and Override Status is NOT ALLOWED
This is not my account,SYM_5b07c1fe-70ec-4c45-aed6-718c261fca24,(empty),(empty),This is not my account
PHT Score is Outside Acceptable Range and Override Status is ALLOWED,SYM_1c7c2b1c-f900-4010-a7fa-d892cb4e082e,(empty),(empty),PHT Score is Outside Acceptable Range and Override Status is ALLOWED
Upstream Signal to Noise Ratio Outside Acceptable Range,SYM_b1abac35-fcf0-4175-a29d-1eeee0a00aef,(empty),(empty),Upstream Signal to Noise Ratio Outside Acceptable Range
Account Disconnect Reason- Non-Payment,SYM_bfee9dab-2ea7-44e5-a792-8c3cc07f8361,(empty),(empty),Account Disconnect Reason- Non-Payment
Down RX Power Exceeds Acceptable Range,SYM_3e8494f2-1c21-47e9-90a8-50005cb93295,(empty),(empty),Down RX Power Exceeds Acceptable Range
Outage Identified,SYM_5b1e566e-d7e9-4201-8511-78d0bb5cd347,(empty),(empty),Outage Identified
Tony's Bootfile,SYM_0b069251-409d-4d93-9852-13cf46f2f1da,(empty),(empty),Tony's Bootfile
Account Balance Less than Threshold,SYM_a0b4cd6d-3ac7-42a6-ac92-9707e285da65,(empty),(empty),Account Balance Less than Threshold
UpStream TX Power Exceeds Threshold,SYM_0ce19bdf-9e68-4be4-b8a5-baab7bf57b0b,(empty),(empty),UpStream TX Power Exceeds Threshold
Hot Tap,SYM_08fd4821-05cc-4001-94de-9620015ea3d0,(empty),(empty),Hot Tap
PHT - PASS with OVERRIDES,SYM_966a0303-38b2-4785-86cd-9d808f7490cb,(empty),(empty),PHT - PASS with OVERRIDES
PHT Score is Within Acceptable Range and Override Status is ALLOWED,SYM_45d32158-1fe2-43d9-9c3f-d471cc17354c,(empty),(empty),PHT Score is Within Acceptable Range and Override Status is ALLOWED
Down RX Power Below Acceptable Range,SYM_0870260b-0316-4199-805b-f5e9e6885a3d,(empty),(empty),Down RX Power Below Acceptable Range
First Name contains Anthony,SYM_edae0b88-14fd-4b4f-af64-68f245a74c5f,(empty),(empty),First Name contains Anthony
New Device Count Exceeds Threshold,SYM_7ca441ab-0722-463f-a22e-d2134f9a69f8,(empty),(empty),New Device Count Exceeds Threshold
Symptomdate,SYM_105b48f1-39d9-47ad-8f39-a4a4902673a1,(empty),datecreation,Symptomdate
NBX_Services,SYM_f01f7205-13d1-4861-babc-db1dd0cd4352,(empty),(empty),NBX_Services
Ui Controls Symptom,SYM_60745d55-c4fe-4b29-9493-5d6b86d20ea7,(empty),(empty),Ui Controls Symptom
Account Number is not null,SYM_da12747a-dc5a-4e2f-85b4-62803dd11c5d,(empty),Used for Validate UI controls,Account Number is not null
CDV Porting Issue,SYM_44475c62-a7e8-4422-8ff0-c25518e23db6,(empty),(empty),CDV Porting Issue
Sensor Low Battery,SYM_e4f4e0b9-9c06-4a4e-bf21-0afe943200fb,(empty),(empty),Sensor Low Battery
Battery Low,SYM_e9983959-3793-4a0e-9bf0-d1b6149bdef5,(empty),(empty),Battery Low
Replace Battery,SYM_9f986e98-0342-42f8-878e-b1b768d8c960,(empty),(empty),Replace Battery
Low Battery,SYM_1b534efa-1ec2-405b-97f6-cba7217d02f7,(empty),(empty),Low Battery
Take Over Low Battery,SYM_ab9755ae-40f3-4dd2-91bb-6cc823a215ee,(empty),(empty),Take Over Low Battery
Zigbee Sensor Low Battery,SYM_03ebfaba-fc8f-46ad-89e9-4a32a926921c,(empty),(empty),Zigbee Sensor Low Battery
Sensor No Power,SYM_80aec388-e8cc-464b-99b6-caa8a10da812,(empty),(empty),Sensor No Power
Take Over No Power,SYM_146788fc-3280-4b35-b425-d461142bd6b5,(empty),(empty),Take Over No Power
Zigbee Sensor No Power,SYM_26f32764-858b-4284-8445-3dbe0ebf86a0,(empty),(empty),Zigbee Sensor No Power
Zigbee Sensor Fail Battery,SYM_6ec84a04-0818-4911-8b25-42af4b699165,(empty),(empty),Zigbee Sensor Fail Battery
Dashboard_Testing,SYM_3dab72f2-5620-471b-9d24-9e7a300f8ced,(empty),(empty),Dashboard_Testing
Feature In Biller And Not In Switch,SYM_b5872f05-d7aa-4805-98cf-2475b5d1d490,(empty),(empty),Feature In Biller And Not In Switch
Feature In Biller And Not In Switch with International Block,SYM_54a7dbbc-0d31-41a2-a4b1-0f8c217dc157,(empty),(empty),Feature In Biller And Not In Switch with International Block
Feature In Switch And Not In Biller,SYM_fd78245e-3739-420e-a3a5-244b5e36cc01,(empty),(empty),Feature In Switch And Not In Biller
Feature In Switch And Not In Biller with International Block,SYM_6af749e6-d2dd-429b-a7e1-d5206416791b,(empty),(empty),Feature In Switch And Not In Biller with International Block
Activate Video Error,SYM_59383965-8070-45ba-9d9b-6643ff84307b,(empty),(empty),Activate Video Error
Found Seasonal Bootfile,SYM_a58719f2-47ac-4590-8a3b-e1bc15329a41,(empty),(empty),Found Seasonal Bootfile
Testing_Defect,SYM_99899d9a-265d-4a57-86e8-375e44ec6f08,(empty),(empty),Testing_Defect
Tap_symptom,SYM_7c7a9dec-b7a9-4273-97cd-6d4f588968ef,(empty),(empty),Tap_symptom
OZ - PHT - ICFR > 7,SYM_6869a754-efb1-4d8d-ad27-845b8eb7b4be,1,(empty),OZ - PHT - ICFR > 7
OZ - PHT - DS SNR < 32,SYM_c350f7be-7de3-479e-b084-b6228419811e,1,(empty),OZ - PHT - DS SNR < 32
Context Both,SYM_f4716f79-7d6a-442d-9a9d-77c3e91739c4,(empty),(empty),Context Both
Equipment - Swap Eligible,SYM_9377796b-c17c-46cf-b72d-719ad2d17bc4,(empty),(empty),Equipment - Swap Eligible
Account - Swap Eligbile,SYM_2a5459ae-2c35-4919-b755-130383235361,(empty),(empty),Account - Swap Eligbile
WatchTower - Outage,SYM_5a007411-c696-434d-b906-2209e45aace6,(empty),"The general rule is that 4 or more devices that appear to share a common problem and the modems are offline. If the address is an MDU then 45% or more of the MDU has to be offline for it to count towards the outage. Also, 15% or more of the subs need to be offline if the sub count is greater than 40.",WatchTower - Outage
WatchTower - Power Outage,SYM_ac245d3b-04ea-4746-8c16-a91befcf8cf4,(empty),4 or more devices that appear to be part of a commercial power outage. Commercial power outages are detected by looking for devices on battery backup. Devices with battery backup will remain online until the battery is depleted. Devices without batteries will fall offline immediately if there is power interruption.,WatchTower - Power Outage
WatchTower - Fiber Cut,SYM_65015f92-de2e-4fae-be12-5902ea427255,(empty),This is a manually set event. There is no automated mechanism to create fiber cut events. I user must manually change the event type in this case.,WatchTower - Fiber Cut
WatchTower - Service Call Node Alert,SYM_655f0370-4f50-445b-94a2-b01102db3f41,(empty),"A cluster of trouble calls was found, or a percentage of the customers on a node have trouble calls. The threshold for number of calls required to create this event type is configurable in the Auto-Ticketing Scheme ? by default the number of trouble calls must be equal to or greater than 7% of the number of devices on the node (as of 51215)",WatchTower - Service Call Node Alert
WatchTower - Service Call Cluster Alert,SYM_54218fd9-26da-4887-853f-389c7539fe99,(empty),"A cluster of trouble calls was found, or a percentage of the customers on a node have trouble calls. The threshold for number of calls required to create this event type is configurable in the Auto-Ticketing Scheme ? by default the number of trouble calls must be equal to or greater than 7% of the number of devices on the node (as of 51215)",WatchTower - Service Call Cluster Alert
WatchTower - Priority Plant Fault,SYM_829a970a-92c4-40dd-8da5-b5083dc561c8,(empty),This event type is a plant fault type with at least 3 trouble calls within a 150m radius of the event.,WatchTower - Priority Plant Fault
WatchTower - LPI,SYM_e77da703-f565-4de0-978b-b7440720801c,(empty),A Priority Plant Fault Job will be created if the node analysis results in a Plant Fault condition and one of the affected Customers has an open Customer Ticket.,WatchTower - LPI
WatchTower - Moderate Plant Fault,SYM_3360dbf1-d9e9-46b4-be3a-12f0bc7286ce,(empty),"4 or more devices that share a common problem with the cable modem eMTA. That problem can be out of range upstream transmit power, upstream SNR MER, downstream SNR MER, and downstream receive power. Out of range is configurable for all metrics for any network hierarchy element.",WatchTower - Moderate Plant Fault
WatchTower - Severe Plant Fault,SYM_0b1b2f1d-9105-41df-b654-c097d4eee757,(empty),"A Severe Plant Fault will be triggered when 80% or more of the devices in the Plant Fault violate the Severe threshold values for the RF levels in question. (For example, the Upstream Return (US Rx) Severe threshold is -4dBmV and the Moderate threshold is -2dBmV.)",WatchTower - Severe Plant Fault
