diagnosisId,recommendationsId
DIA_4960f12f-430e-46ca-84af-43a3d2125288,REC_48428307-f364-4170-b94a-63cac31a21ce
DIA_4960f12f-430e-46ca-84af-43a3d2125288,REC_89e993ad-9ed5-4ba5-99eb-d5bd66278c49
DIA_4960f12f-430e-46ca-84af-43a3d2125288,REC_856a429b-ff2b-4873-886a-d54e109a3635
DIA_4960f12f-430e-46ca-84af-43a3d2125288,REC_e02c2158-40ad-4c2f-b838-d2316fa51da1
DIA_4960f12f-430e-46ca-84af-43a3d2125288,REC_c1948d30-0efc-4c11-9e18-147b3ea8ab66
DIA_aa186ac6-a8f5-46fa-b1b3-e826762a7815,REC_669426ab-3888-44c4-aa6c-8ba18c3e7cc9
DIA_aa186ac6-a8f5-46fa-b1b3-e826762a7815,REC_b8a98d47-0722-41e8-9d5e-238fa6bf19e9
DIA_aa186ac6-a8f5-46fa-b1b3-e826762a7815,REC_c42184ab-8096-4e3f-b71c-681be39d8864
DIA_8fa7a7e0-3fab-43ed-a4f1-2c090a8ef8ec,REC_e2b588de-3416-49e2-95a2-440e0cc35b51
DIA_8fa7a7e0-3fab-43ed-a4f1-2c090a8ef8ec,REC_62163cf5-126e-4c1f-87ca-db650995e93a
DIA_8fa7a7e0-3fab-43ed-a4f1-2c090a8ef8ec,REC_c5f56f78-e5b8-430d-ab41-c558a35030ce
DIA_8fa7a7e0-3fab-43ed-a4f1-2c090a8ef8ec,REC_ebacca33-c046-42a9-bc23-a0d4e2040ba8
DIA_8fa7a7e0-3fab-43ed-a4f1-2c090a8ef8ec,REC_252cbb8c-036c-4d4c-b07d-c2385a82fc8c
DIA_8fa7a7e0-3fab-43ed-a4f1-2c090a8ef8ec,REC_9a95d9b7-d9c7-4900-8371-2bbbf7a4cb92
DIA_c6da49a5-da8d-4cad-9a92-3cf68d6d811e,REC_6f9f7e84-33d2-41ad-a5e4-2ce5f49ffc1c
DIA_c6da49a5-da8d-4cad-9a92-3cf68d6d811e,REC_2ef375eb-2f54-455e-b7dc-12e97ea9fad5
DIA_c6da49a5-da8d-4cad-9a92-3cf68d6d811e,REC_bd3e5144-2f2c-4728-b23a-387da21e0bc0
DIA_c6da49a5-da8d-4cad-9a92-3cf68d6d811e,REC_8b118b3c-5d2e-49b5-80ea-9437aaaf25e2
DIA_2b00d67f-ba77-4449-a45f-528b28b238fa,REC_06fdccd0-b76a-4df7-8aea-82d06572592a
DIA_2b00d67f-ba77-4449-a45f-528b28b238fa,REC_c4fae989-7bdc-42dd-ab08-13d090214673
DIA_eb04f2bc-5678-4526-ba36-05f858e09b87,REC_8dcdaa44-e987-4de1-9acf-e1ea39f2084d
DIA_4ae17405-c666-46ec-89b4-0480d84d251e,REC_f6484f98-b54a-4bf7-b5bc-aad3ce439de5
DIA_4ae17405-c666-46ec-89b4-0480d84d251e,REC_39b2b2b2-b6b2-4339-b062-be4c87e0de6d
DIA_0856cf02-cd58-4c1e-a39f-e08081cb4343,REC_c3df4040-9543-45aa-b63d-cad745f99c81
